"img-fit-cover src","entity_localized_name","anime_tag","anime_tag 2","anime_tag 3","anime_summary","anime_story","steam-site-name","steam-site-name 2","steam-site-name 3","steam-site-name 4","steam-site-name 5","scormem-item","scormem-item 2","image_path"
"https://static.acgsecrets.hk/img/06/06f5924bd9be688f56b83ab4c17d2148/fbd18e5df058bad0e77c89560ba2bceed9304beeb064ea7f92873744e142bbf7.jpg","機動戰士Gundam GQuuuuuuX","動作","機甲","科幻","其他名稱：Kidou Senshi Gundam: GQuuuuuuX、Mobile Suit Gundam GQuuuuuuX、机动战士Gundam GQuuuuuuX","女高中生天手讓葉偶遇難民少女娜安,隨即捲入非法機動戰士決鬥競技《軍團戰》當中。讓葉以「瑪秋」為名,駕駛著 GQuuuuuuX 與其他參賽者進行日復一日的激烈對戰。平靜的生活被打破,此時在兩人面前,出現一架被宇宙軍隊和警察兩方追捕的神秘機動戰士及其駕駛員──少年修治...","Amazon Prime Video","Amazon Prime Video","","","","7.02","55K","anime_data/images/機動戰士Gundam GQuuuuuuX.jpg"
"https://static.acgsecrets.hk/img/11/115bdb7a7baca3d04bba1623b674e989/4f3ed46fedda0e117e334b5f6e9ed00232bade9a313d84a4b9703e5c8aea557f.jpg","搖滾樂是淑女的嗜好","音樂","校園","","其他名稱：ロックは淑女の嗜みでして、搖滾乃淑女之嗜好、Rock wa Lady no Tashinami deshite、Rock wa Shukujo no Tashinami deshite、Rock Is a Lady's Modesty、摇滚乃淑女之嗜好、摇滚乐是淑女的嗜好","前庶民．鈴之宮莉莉紗被迫在貴族女校過著拘謹的生活。她因再婚了的母親的願望，拚命努力地「裝作千金小姐」。然而某天，她被舊校舍傳來的聲音吸引…？","巴哈姆特動畫瘋","Ani-One YouTube","巴哈姆特動畫瘋","Ani-One YouTube","Bilibili","7.91","68K","anime_data/images/搖滾樂是淑女的嗜好.jpg"
"https://static.acgsecrets.hk/img/df/dfa545e913f6ff7785f1bb556830af8d/9d042d22944f8d7fd911bbbd4b843c3eeb078eb041ed63ee66ec9a3da06f83fb.jpg","LAZARUS","科幻","","","其他名稱：Lazarus","西元2052年。世界迎來了前所未有的和平時代，由腦神經學博士スキナー所開發的鎮痛劑「ハプナ」貢獻卓著。作為沒有副作用的「奇蹟藥」，「ハプナ」迅速傳遍全球，將人類從痛苦中解放。然而，這款藥物的開發者スキナー卻突然失蹤，沒有人知道他的下落。  ──三年後，他以引領世界走向毀滅的惡魔之姿再度現身。原來「ハプナ」是個早已設下的陷阱：服用者在三年後會發病並邁向死亡。「倒數三十天。如果在那之前能找到我的所在，人類便能存活。」  唯有使用スキナー手中唯一的一劑疫苗，才有生還的可能。而他同時宣稱，若想得到這劑疫苗，就必須先找到他。  為了對抗スキナー的陰謀，來自世界各地的五位特務組成了名為「ラザロ」的團隊。  他們能拯救人類嗎？而スキナー真正的目的，又是什麼呢──？","巴哈姆特動畫瘋","愛奇藝","巴哈姆特動畫瘋","愛奇藝","Bilibili","7.19","222K","anime_data/images/LAZARUS.jpg"
"https://static.acgsecrets.hk/img/81/816cc2a228bed981eee3b9ccd645c792/f3cda338b9280e2b6f43d57330a573b4a9da00d5f3eb09e655771f34396d9d68.jpg","紫雲寺家的兄弟姊妹","喜劇","浪漫","","其他名稱：紫雲寺家的孩子們、Shiunji-ke no Kodomotachi、Children of the Shiunji Family、The Shiunji Family Children、紫云寺家的孩子们、紫云寺家的兄弟姊妹","住在日本東京豪宅內的紫雲寺家的七個兄弟姊妹，因為個個都是俊男美女而受到眾人憧憬。但長男新卻因家裡有五個姊妹而感到拘束，也會暗自想像沒有這些姊妹的人生。在五女琴乃１５歲的生日會上，父親告訴他們一個重大的消息。那就是他們七人其實沒有血緣關係！原以為就算如此，親情的羈絆還是不會改變。卻漸漸開始有了些變化…","巴哈姆特動畫瘋","Ani-One YouTube","巴哈姆特動畫瘋","Ani-One YouTube","","7.08","99K","anime_data/images/紫雲寺家的兄弟姊妹.jpg"
"https://static.acgsecrets.hk/img/39/3974651ab6a6a14ca33aec686a203d83/80e3c97f34dec4cdd820f4993ee729ebeb62383e1ea949a811fde1d7a31b16e0.jpg","WIND BREAKER—防風少年— 第二季","動作","校園","","其他名稱：ウィンドブレイカー、WIND BREAKER 第2期、WIND BREAKER Season 2、WIND BREAKER 2nd Season、WIND BREAKER—防风少年— 第二季","進入了最強不良學校「風鈴高中」的櫻遙，因受到了同學們的信賴，被委任為班上的級長。剛拉開序幕的新生活，很快就爆發了新的騷動。為了拯救同學杏西的青梅竹馬，櫻等人即將闖入由恐怖和暴力統治的集團「ＫＥＥＬ」的根據地！面對用卑劣手段襲來的對手，年輕的不良英雄們起身奮戰──！","巴哈姆特動畫瘋","愛奇藝","木棉花YouTube","巴哈姆特動畫瘋","愛奇藝","7.64","193K","anime_data/images/WIND BREAKER—防風少年— 第二季.jpg"
"https://static.acgsecrets.hk/img/c7/c75412d3acb1d7c13c22e25c9dcb9cce/456afa1e0fb9a073271acb8be7eee12be959c13291d032c25985e3e621c9e0df.jpg","mono 女孩","喜劇","","","其他名稱：mono、Mono","隸屬攝影社的雨宮紗月，在學姐畢業後失去了拍攝的動力，在友人霧山杏的鼓舞下買了新相機來嘗試不一樣的拍攝手法，並且遇上了正為漫畫題材而苦惱的漫畫家，紀錄旅行軌跡的爽朗機車騎士，以及性格特立的電影研究社社員，開始了一行人在山梨的攝影與取材之旅。","巴哈姆特動畫瘋","Crunchyroll","巴哈姆特動畫瘋","Crunchyroll","","7.74","43K","anime_data/images/mono 女孩.jpg"
"https://static.acgsecrets.hk/img/af/afd092091883336f95ed6bc73548b0ff/2042d41175c813b998d19aa6bbf02e6f8faccc2471d5a29fd61660a7484de839.jpg","炎炎消防隊 參之章","動作","超自然","","其他名稱：Enn Enn no Shouboutai San no Shou、Fire Force Season 3、Fire Force 3rd Season、炎炎消防队 参之章","聖陽教會與傳導者聯手，將第8大隊長・櫻備囚禁起來。森羅等第8的隊員成為了皇國的通緝犯，他們為了營救櫻備，而與「影」之男・JOKER一起闖入府中大監獄。在那裡等著他們的，是第1的大隊長班茲，以及專門對付能力者的戰鬥專家「屠殺者」！","巴哈姆特動畫瘋","viu.com","Netflix","巴哈姆特動畫瘋","Netflix","7.7","266K","anime_data/images/炎炎消防隊 參之章.jpg"
"https://static.acgsecrets.hk/img/89/89c5425003370e6492a3c07e75e8c176/5c407f63bee25d5465f916acdb8af3a57a2dffc3c0e281af972e2bbdb38a791e.jpg","賽馬娘 Cinderella Gray","戲劇","運動","","其他名稱：賽馬娘 蘆毛灰姑娘、賽馬娘：蘆毛灰姑娘、賽馬娘 灰髮灰姑娘、Uma Musume Cinderella Gray、Uma Musume: Cinderella Gray、赛马娘：芦毛灰姑娘、赛马娘 芦毛灰姑娘、赛马娘 Cinderella Gray、赛马娘 灰发灰姑娘","位於蕭條地帶的笠松訓練中心學園。在那裡，出現了一位賽馬娘。 她名為「小栗帽」。 她那壓倒性的奔跑姿態，顛覆了一切常識。  那位不久後將被稱為「怪物」的灰姑娘少女，如今即將開創新的傳說——。  青春「奔馳」的灰姑娘故事，終於出賽!!","Netflix","Netflix","Bilibili","","","8.56","59K","anime_data/images/賽馬娘 Cinderella Gray.jpg"
"https://static.acgsecrets.hk/img/9b/9bef64605ba76b3cb777eaf45476f423/280acbeb9591db2d16c784bab7a6d81556d820eba7e03b69ef52ff22bccd33a9.jpg","九龍大眾浪漫","浪漫","科幻","","其他名稱：KOWLOON GENERIC ROMANCE、Kowloon Generic Romance、九龙大众浪漫","在充滿懷舊氣息的「九龍寨城」的房地產公司工作的「鯨井令子」，對前輩同事「工藤発」抱有好感。某天，意識到自己戀心的令子，卻從一張照片中得知工藤曾經有過一位未婚妻，而那位未婚妻竟與自己長得一模一樣。另一個「鯨井令子」的存在，讓她察覺到自己竟然沒有過去的記憶。在妖豔而美麗的九龍街道上展開的日常生活，明明沒有記憶卻感到無比懷念的景色，以及無法抑制的戀情。在過去與現在的時間軸交錯之中，這段戀情將揭開所有的秘密——。","巴哈姆特動畫瘋","Ani-One YouTube","愛奇藝","Netflix","巴哈姆特動畫瘋","7.37","136K","anime_data/images/九龍大眾浪漫.jpg"
"https://static.acgsecrets.hk/img/09/098867036b04d53de70323406df1f53c/1fda961392327b8be6919439545307d84fb7365b62445e4b05dc6f8f5b8a91c2.jpg","我是星際國家的惡德領主！","動作","科幻","","其他名稱：俺は星間国家の悪徳領主！、我在星際國家當惡德領主、Ore wa Seikan Kokka no Akutoku Ryoushu!、I'm the Evil Lord of an Intergalactic Empire!、我是星际国家的恶德领主！、我在星际国家当恶徳领主","星際國家昂格藍德帝國──出生在治理邊境行星的伯爵家、以小小年紀繼承了伯爵之位的黎恩，其實是一名轉生者。他省思了前世因為過於善良而屢遭壓榨的人生，決定在這一生成為掠奪他人的「惡德領主」，打算讓人民陷入水深火熱之中。然而──「這種鳥不生蛋的地方，連一滴油水都擠不出來啊！！」他所繼承下來的領地，是一片荒蕪到讓人不忍行惡的廢土！為了讓人民承受得起自己的壓榨，黎恩決定先為領地打造繁榮的基礎。而他雖然硬是擺出惡德領主的樣子，但不知為何，人民卻反而對他愈有好感……！？以惡德領主為志向，卻不知為何被當成名君崇敬的會錯意領地經營譚，就此開幕！！","巴哈姆特動畫瘋","木棉花YouTube","巴哈姆特動畫瘋","木棉花YouTube","","7.02","77K","anime_data/images/我是星際國家的惡德領主！.jpg"
