"img-fit-cover src","entity_localized_name","anime_tag","anime_tag 2","anime_tag 3","anime_summary","anime_story","steam-site-name","steam-site-name 2","steam-site-name 3","steam-site-name 4","scormem-item","scormem-item 2","image_path"
"https://static.acgsecrets.hk/img/9d/9dc6882995ac6f4307c36b7d40682617/69e4d9b00ba2b8b7c53c5edb6040e2fe8983227db46e883ae546f6f82f9d5d20.jpg","DAN DA DAN","動作","喜劇","超自然","其他名稱：當噠當、超自然武裝當噠當、当哒当、胆大党、超自然武装当哒当、DANDADAN","不相信幽靈的少年與不相信外星人的少女相遇，超越常理的故事立即展開⋯高速婆婆跑得快，一定有古怪！","巴哈姆特動畫瘋","viu.com","Netflix","愛奇藝","8.47","830K","anime_data/images/DAN DA DAN.jpg"
"https://static.acgsecrets.hk/img/34/3460e7acf6180a549bcc8fa662222549/a27f2e22b52cc08b48eca730cab8825880fd8953a8b4c31a15dbf8f19f2b4841.jpg","香格里拉·開拓異境 第二季","動作","冒險","奇幻","其他名稱：Shangri-La Frontier 2nd Season、Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season、香格里拉边境 第二季","以修復「守墓的衛札艾蒙」之遺產為目標的桑樂為了將比菈可培育成「古匠」而前往新的地下城！這次還跟追加鰹魚及潘希魯貢再次組隊，一同探究『香開』世界的深處！另一方面，頂尖玩家們則為了尋求與討伐獨特怪物相關的情報而聚集到了桑樂的所在之處！在滿是老奸的戰隊會談見識「旅狼」的真正價值吧！","巴哈姆特動畫瘋","viu.com","巴哈姆特動畫瘋","","8.27","228K","anime_data/images/香格里拉·開拓異境 第二季.jpg"
"https://static.acgsecrets.hk/img/7d/7db38421bee430139663a1baad5c5f4b/84e61b4d7054ece68b60efa80b692d0f227df696491bf012dfed6d8bdf0add12.jpg","嘆氣的亡靈想隱退","動作","冒險","奇幻","其他名稱：嘆息亡靈想隱退、嘆息的亡靈想引退、嘆息的亡靈好想隱退、Nageki no Bourei wa Intai shitai、Nageki no Bourei ha Intai Shitai、Let This Grieving Soul Retire!、Let This Grieving Soul Retire! Woe Is the Weakling Who Leads the Strongest Party、叹气的亡灵想隐退、叹息亡灵想隐退、叹息的亡灵想引退、叹息的亡灵好想隐退","現在正值寶藏獵人的黃金時期，為了尋求財富、名譽以及力量，獵人們不顧自身危險想飛黃騰達，前往世界各地的寶藏殿展開探索。讓我們一起成為寶藏獵人吧──克萊‧安東黎西與兒時玩伴們的這段誓言，理應無法順利實現才對。原因是，克萊完全沒有成為寶藏獵人的才能……但不知為何，周遭人對克萊的期待與日俱增，導致他送命的風險不斷攀升。每當實力異於常人的兒時玩伴們大顯身手，克萊向人磕頭道歉的技能就跟著提升……！這是一部關於一名青年想開心退休養老的故事。","巴哈姆特動畫瘋","木棉花YouTube","巴哈姆特動畫瘋","木棉花YouTube","7.04","135K","anime_data/images/嘆氣的亡靈想隱退.jpg"
"https://static.acgsecrets.hk/img/da/dafc2a46b0f482169990cf4839ca1dcf/56d3b571dfd5d3b49f0a854c8b00d4052dfab1b412a0cf0beccd3466d5ab61f7.jpg","Re:從零開始的異世界生活 第三季","戲劇","奇幻","","其他名稱：Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season、Re:ZERO -Starting Life in Another World Season 3、Re:从零开始的异世界生活第三季","「吾主安娜塔西亞大人有話要傳達給愛蜜莉雅大人。」自「聖域」一役已過了一年，愛蜜莉雅陣營亦團結一致，菜月．昴每天都過得充實無比。而這段平穩的時光，因使者送來的一張書信而告終。是招待一行人前往水門都市樸利斯提拉的邀請函──是王選候補人選安娜塔西亞寄給愛蜜莉雅的邀請信。接受邀請，一路前往樸利斯提拉的一行人，在水之都與以安娜塔西亞為首的熟面孔重逢。大家重溫彼此奇妙的情誼，度過平穩的時間。──絲毫不察私底下有惡意正在蠢蠢欲動。","巴哈姆特動畫瘋","viu.com","愛奇藝","巴哈姆特動畫瘋","8.44","439K","anime_data/images/Re_從零開始的異世界生活 第三季.jpg"
"https://static.acgsecrets.hk/img/e8/e81f2948b9706fc6c038ba1a639910e2/5647acdc7405dda3c54fff099d9df6a93a21a4e6f36cc12b10e043e8188bce46.jpg","青春盒子","浪漫","運動","","其他名稱：青色之箱、青之箱、藍箱、Ao no Hako、Blue Box、蓝箱","隷屬羽毛球部的豬股大喜，喜歡上女子籃球部的前輩鹿野千夏——。他被她認真自行練習的身影吸引，後來還發現了意想不到的事實⋯!?","Netflix","Netflix","Bilibili","","8.19","283K","anime_data/images/青春盒子.jpg"
"https://static.acgsecrets.hk/img/cd/cd7ee7edea6bd1be6412f06991d7f0fd/669c468ac5ff266be0e62394bdafe8970a27c8ea70498cab21a7a2c0c5bf5806.jpg","刀劍神域外傳 Gun Gale Online 第2季","動作","","","其他名稱：SAO オルタナティブ ガンゲイル･オンラインⅡ、Sword Art Online Alternative: Gun Gale Online Season 2、刀剑神域外传 Gun Gale Online 第2季","賭上Pitohui現實世界生死的第二屆Squad Jam之後又過了大約三個月。蓮、Pitohui、不可次郎、Ｍ組成的最強隊伍「LPFM」挑戰突然決定舉行的第三屆大會！被認為是最有機會獲得優勝的他們，即將面臨「隨著時間經過沉入海裡的戰場」、「潛伏在地圖中央的『UNKNOWN』區域」、「無名小隊聯手」這種嚴酷的狀況！──而到了大會中段，突然對所有參賽者宣布的特別規則是？","木棉花YouTube","巴哈姆特動畫瘋","巴哈姆特動畫瘋","木棉花YouTube","7.14","111K","anime_data/images/刀劍神域外傳 Gun Gale Online 第2季.jpg"
"https://static.acgsecrets.hk/img/fc/fcb3149fd6e487291c90322d716a2607/46a622ed6a46f01a3acd433abaa635f91fc4a35773e66dbd81f88e4625dca986.jpg","地。-關於地球的運動-","戲劇","","","其他名稱：關於地球的運動、Chi.: Chikyuu no Undou ni Tsuite、Orb: On the Movements of the Earth、地。-关于地球的运动-、关于地球的运动","「到底要付出什麼，才能瞭解這世上的一切——？」15世紀前期的Ｐ王國，拉斐爾是百年難的一見的神童，預計在大學主修神學。因緣際會下，遇見了因從事「禁止研究」而被折磨拷問的異教徒赫伯特。他的工作與宗教正式認可的「地心說」背道而馳，因此，赫伯特被認為是應該懺悔的異端者。拉斐爾起初否定了赫伯特的理論，但他理性的性格以及對天文學的好奇，逐漸被「日心說」的理性之美所吸引……","Netflix","Netflix","Bilibili","","8.7","237K","anime_data/images/地。-關於地球的運動-.jpg"
"https://static.acgsecrets.hk/img/9f/9fe7c2defb457acfa97b304efeba7950/7581101f1f00be6ab15e30d1a0aeeb57c65e5cf694f69be43e691ca4aeab9437.jpg","孤單一人的異世界攻略","動作","冒險","奇幻","其他名稱：獨自一人的異世界攻略、Hitoribocchi no Isekai Kouryaku、Loner Life in Another World、独自一人的异世界攻略、孤单一人的异世界攻略","高中生活總是「一個人」度過的遙，某天突然與同班同學一起被召喚到異世界。遙回過神來，神明就在面前，還要他在列著各種外掛能力的技能清單中選擇喜歡的技能，以便在異世界生存──沒想到竟然是先選先贏，外掛技能已經被同班同學拿光了!?遙只拿到了賣剩的微妙技能，還因為『邊緣人』這項技能的效果而無法組隊，連在異世界也只能孤獨地冒險。此時，他得知同班同學陷入危機，悄悄決定要救出他們，並朝著不靠外掛卻又超越外掛的異端最強之路邁進──","巴哈姆特動畫瘋","viu.com","巴哈姆特動畫瘋","木棉花YouTube","6.57","131K","anime_data/images/孤單一人的異世界攻略.jpg"
"https://static.acgsecrets.hk/img/95/9505d82efd87d4ddc9bdf779cc5aa86f/c4a7bf7ca12f37fea17a0f37efc32147ba42222bb34aab6937bd664153a3e8d8.jpg","被隊伍驅逐的治癒師，其實是最強的","動作","冒險","奇幻","其他名稱：被逐出隊伍的治癒師，其實是最強的、被隊伍驅逐的治癒師其實是最強的、被隊伍驅逐的治癒師，其實是最強、Party kara Tsuihou sareta Sono Chiyushi, Jitsu wa Saikyou ni Tsuki、The Healer Who was Banished From His Party is Actually the Strongest、被队伍驱逐的治愈师，其实是最强的、被逐出队伍的治愈师，其实是最强的、被队伍驱逐的治愈师其实是最强的、被逐出队伍的治愈师，其实是最强","在過去，世界曾經差點被稱為""邪龍""的邪惡存在毀滅。但是一位勇者擊敗了邪龍，拯救了世界。然後，200多年過去了——。マータット是眾多的迷宮都市之一。在那裡有一個被稱為""無能""的男人，他的名字是ラウスト，職業是治癒師。他因為他自己的無能，一直渡過著被其他冒險者們蔑視、利用和拋棄的日子。有一天，一位職業是武鬥家、名為ナルセーナ的少女出現在ラウスト的面前。ナルセーナ對剛被逐出某個隊伍的ラウスト問道：「小哥，要跟我組個隊嗎？」於是，ラウスト和ナルセーナ，兩人的冒險就此開始——。","巴哈姆特動畫瘋","Ani-One YouTube","巴哈姆特動畫瘋","Ani-One YouTube","5.71","86K","anime_data/images/被隊伍驅逐的治癒師，其實是最強的.jpg"
"https://static.acgsecrets.hk/img/60/60a1f56f9a91af7cc179814ed8179156/d7d181362b8835ab457ce506f8c598de0d410bf7a21c6be6a707131c474f0e84.jpg","最狂輔助職業【話術士】世界最強戰團聽我號令","動作","冒險","奇幻","其他名稱：得到最弱的輔助功能【話術士】的我統領世界最強組織、依靠最弱輔助功能【話術士】的我統領世界最強氏族、最狂輔助職業話術士世界最強戰團聽我號令、Saikyou no Shienshoku ""Wajutsushi"" de Aru Ore wa Sekai Saikyou Clan wo Shitagaeru、The Most Notorious ""Talker"" Runs the World's Greatest Clan、最狂辅助职业【话术士】世界最强战团听我号令、依靠最弱辅助职能【话术士】的我统领世界最强氏族、得到最弱的辅助职能【话术士】的我统领世界最强组织、最狂辅助职业话术士世界最强战团听我号令","少年‧諾艾爾因為自幼仰慕生前為一名英雄的祖父，於是立志成為最強的探索者。探索者是以討伐強大惡魔為工作的職業，偏偏諾艾爾的是【話術士】──此乃不擅長戰鬥的輔助職能。不過他繼承祖父的遺志，並培養出無雙的智謀，終於讓他找出成為世界最強的方法。具體而言就是打造出無敵的，而他則成為該組織的團長──諾艾爾運用他的才智，成功拉攏傳說級暗殺者的後繼者、流浪刀劍士等多名豪傑，就此成立最強組織！而且他還展現出異想天開的過人口才，將敵人玩弄於股掌間，率領組織登峰造極──最終，少年將站上世界最強的頂點！","巴哈姆特動畫瘋","viu.com","愛奇藝","巴哈姆特動畫瘋","7.6","133K","anime_data/images/最狂輔助職業【話術士】世界最強戰團聽我號令.jpg"
